"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\actionsGroup.ts", "TypeScript", 24, 0, 12, 36
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\attack.ts", "TypeScript", 23, 1, 4, 28
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\build.ts", "TypeScript", 41, 1, 4, 46
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\claim.ts", "TypeScript", 27, 1, 4, 32
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\dismantle.ts", "TypeScript", 30, 1, 4, 35
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\harvest.ts", "TypeScript", 42, 1, 7, 50
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\heal.ts", "TypeScript", 28, 1, 5, 34
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\move.ts", "TypeScript", 31, 6, 5, 42
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\repair.ts", "TypeScript", 46, 1, 4, 51
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\transfer.ts", "TypeScript", 67, 1, 7, 75
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\upgrade.ts", "TypeScript", 51, 1, 4, 56
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\withdraw.ts", "TypeScript", 52, 1, 5, 58
"c:\Users\piete\Source\repos\Pansiep\src\creep\communications.ts", "TypeScript", 37, 0, 4, 41
"c:\Users\piete\Source\repos\Pansiep\src\creep\helper.ts", "TypeScript", 127, 7, 13, 147
"c:\Users\piete\Source\repos\Pansiep\src\creep\loop.ts", "TypeScript", 39, 0, 4, 43
"c:\Users\piete\Source\repos\Pansiep\src\main.ts", "TypeScript", 23, 2, 5, 30
"c:\Users\piete\Source\repos\Pansiep\src\memory\garbageCollection.spec.ts", "TypeScript", 152, 2, 15, 169
"c:\Users\piete\Source\repos\Pansiep\src\memory\garbageCollection.ts", "TypeScript", 72, 0, 12, 84
"c:\Users\piete\Source\repos\Pansiep\src\memory\initialization.spec.ts", "TypeScript", 182, 0, 8, 190
"c:\Users\piete\Source\repos\Pansiep\src\memory\initialization.ts", "TypeScript", 235, 3, 24, 262
"c:\Users\piete\Source\repos\Pansiep\src\memory\stats.spec.ts", "TypeScript", 224, 1, 15, 240
"c:\Users\piete\Source\repos\Pansiep\src\memory\stats.ts", "TypeScript", 302, 4, 31, 337
"c:\Users\piete\Source\repos\Pansiep\src\memory\updateCache.spec.ts", "TypeScript", 297, 1, 24, 322
"c:\Users\piete\Source\repos\Pansiep\src\memory\updateCache.ts", "TypeScript", 263, 27, 34, 324
"c:\Users\piete\Source\repos\Pansiep\src\room\helper.spec.ts", "TypeScript", 125, 0, 11, 136
"c:\Users\piete\Source\repos\Pansiep\src\room\helper.ts", "TypeScript", 58, 31, 12, 101
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\create.spec.ts", "TypeScript", 293, 0, 24, 317
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\create.ts", "TypeScript", 345, 60, 22, 427
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\handler.spec.ts", "TypeScript", 446, 0, 24, 470
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\handler.ts", "TypeScript", 296, 40, 29, 365
"c:\Users\piete\Source\repos\Pansiep\src\room\loop.spec.ts", "TypeScript", 50, 0, 7, 57
"c:\Users\piete\Source\repos\Pansiep\src\room\loop.ts", "TypeScript", 29, 13, 7, 49
"c:\Users\piete\Source\repos\Pansiep\src\room\planner\partGenerators.ts", "TypeScript", 389, 9, 15, 413
"c:\Users\piete\Source\repos\Pansiep\src\room\planner\planner.ts", "TypeScript", 364, 32, 34, 430
"c:\Users\piete\Source\repos\Pansiep\src\room\reading.ts", "TypeScript", 304, 69, 30, 403
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\drawVisual.spec.ts", "TypeScript", 136, 0, 16, 152
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\drawVisual.ts", "TypeScript", 96, 30, 11, 137
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\handler.spec.ts", "TypeScript", 38, 0, 7, 45
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\handler.ts", "TypeScript", 15, 3, 3, 21
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\incomeAndExpenses.spec.ts", "TypeScript", 53, 0, 10, 63
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\incomeAndExpenses.ts", "TypeScript", 161, 18, 12, 191
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\job.spec.ts", "TypeScript", 57, 0, 11, 68
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\job.ts", "TypeScript", 141, 9, 10, 160
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\main.spec.ts", "TypeScript", 62, 0, 9, 71
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\main.ts", "TypeScript", 147, 5, 6, 158
"c:\Users\piete\Source\repos\Pansiep\src\structure\helper.spec.ts", "TypeScript", 555, 0, 27, 582
"c:\Users\piete\Source\repos\Pansiep\src\structure\helper.ts", "TypeScript", 330, 62, 26, 418
"c:\Users\piete\Source\repos\Pansiep\src\structure\loop.spec.ts", "TypeScript", 47, 0, 6, 53
"c:\Users\piete\Source\repos\Pansiep\src\structure\loop.ts", "TypeScript", 24, 6, 3, 33
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\actionsGroup.ts", "TypeScript", 28, 0, 14, 42
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\container.spec.ts", "TypeScript", 28, 0, 5, 33
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\container.ts", "TypeScript", 8, 3, 2, 13
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\controller.spec.ts", "TypeScript", 25, 0, 5, 30
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\controller.ts", "TypeScript", 7, 3, 3, 13
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\extension.spec.ts", "TypeScript", 30, 0, 5, 35
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\extension.ts", "TypeScript", 8, 3, 3, 14
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\factory.spec.ts", "TypeScript", 25, 0, 5, 30
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\factory.ts", "TypeScript", 7, 3, 3, 13
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\lab.spec.ts", "TypeScript", 28, 0, 5, 33
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\lab.ts", "TypeScript", 8, 3, 3, 14
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\link.spec.ts", "TypeScript", 24, 0, 5, 29
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\link.ts", "TypeScript", 8, 3, 2, 13
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\nuker.spec.ts", "TypeScript", 25, 0, 5, 30
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\nuker.ts", "TypeScript", 7, 3, 3, 13
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\observer.spec.ts", "TypeScript", 25, 0, 5, 30
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\observer.ts", "TypeScript", 7, 3, 3, 13
