"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\actions.ts", "TypeScript", 24, 0, 12, 36
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\attack.ts", "TypeScript", 23, 1, 3, 27
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\build.ts", "TypeScript", 41, 1, 3, 45
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\claim.ts", "TypeScript", 27, 1, 3, 31
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\dismantle.ts", "TypeScript", 30, 1, 3, 34
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\harvest.ts", "TypeScript", 42, 1, 6, 49
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\heal.ts", "TypeScript", 28, 1, 4, 33
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\move.ts", "TypeScript", 31, 6, 5, 42
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\repair.ts", "TypeScript", 46, 1, 3, 50
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\transfer.ts", "TypeScript", 67, 1, 6, 74
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\upgrade.ts", "TypeScript", 51, 1, 3, 55
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\withdraw.ts", "TypeScript", 49, 1, 4, 54
"c:\Users\piete\Source\repos\Pansiep\src\creep\communications.ts", "TypeScript", 31, 0, 4, 35
"c:\Users\piete\Source\repos\Pansiep\src\creep\helper.ts", "TypeScript", 123, 7, 13, 143
"c:\Users\piete\Source\repos\Pansiep\src\creep\loop.ts", "TypeScript", 29, 0, 4, 33
"c:\Users\piete\Source\repos\Pansiep\src\main.ts", "TypeScript", 23, 2, 5, 30
"c:\Users\piete\Source\repos\Pansiep\src\memory\garbageCollection.ts", "TypeScript", 74, 0, 15, 89
"c:\Users\piete\Source\repos\Pansiep\src\memory\initialization.ts", "TypeScript", 222, 3, 28, 253
"c:\Users\piete\Source\repos\Pansiep\src\memory\stats.ts", "TypeScript", 316, 5, 42, 363
"c:\Users\piete\Source\repos\Pansiep\src\memory\updateCache.ts", "TypeScript", 242, 36, 33, 311
"c:\Users\piete\Source\repos\Pansiep\src\room\helper.ts", "TypeScript", 54, 31, 12, 97
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\create.spec.ts", "TypeScript", 44, 0, 8, 52
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\create.ts", "TypeScript", 225, 24, 11, 260
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\handler.ts", "TypeScript", 286, 37, 28, 351
"c:\Users\piete\Source\repos\Pansiep\src\room\loop.ts", "TypeScript", 27, 13, 6, 46
"c:\Users\piete\Source\repos\Pansiep\src\room\planner\planner.ts", "TypeScript", 741, 41, 47, 829
"c:\Users\piete\Source\repos\Pansiep\src\room\reading.ts", "TypeScript", 297, 69, 30, 396
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\draw.ts", "TypeScript", 83, 30, 11, 124
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\handler.ts", "TypeScript", 17, 3, 3, 23
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\incomeAndExpenses.ts", "TypeScript", 172, 8, 12, 192
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\job.ts", "TypeScript", 149, 5, 10, 164
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\main.ts", "TypeScript", 150, 5, 6, 161
"c:\Users\piete\Source\repos\Pansiep\src\structure\helper.ts", "TypeScript", 98, 22, 7, 127
"c:\Users\piete\Source\repos\Pansiep\src\structure\loop.ts", "TypeScript", 22, 6, 3, 31
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\container.ts", "TypeScript", 33, 3, 2, 38
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\controller.ts", "TypeScript", 25, 3, 3, 31
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\extension.ts", "TypeScript", 8, 3, 2, 13
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\factory.ts", "TypeScript", 7, 3, 2, 12
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\helper.ts", "TypeScript", 112, 24, 11, 147
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\lab.ts", "TypeScript", 6, 3, 2, 11
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\link.ts", "TypeScript", 26, 3, 3, 32
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\nuker.ts", "TypeScript", 5, 3, 2, 10
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\observer.ts", "TypeScript", 7, 3, 2, 12
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\road.ts", "TypeScript", 5, 3, 2, 10
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\spawn.ts", "TypeScript", 293, 27, 33, 353
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\storage.ts", "TypeScript", 13, 3, 2, 18
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\terminal.ts", "TypeScript", 13, 3, 2, 18
"c:\Users\piete\Source\repos\Pansiep\src\structure\types\tower.ts", "TypeScript", 87, 12, 12, 111
"c:\Users\piete\Source\repos\Pansiep\src\types.d.ts", "TypeScript", 182, 5, 34, 221
"c:\Users\piete\Source\repos\Pansiep\src\utils\config\global.ts", "TypeScript", 13, 9, 5, 27
"c:\Users\piete\Source\repos\Pansiep\src\utils\config\room.ts", "TypeScript", 4, 3, 2, 9
"c:\Users\piete\Source\repos\Pansiep\src\utils\consoleCommands.ts", "TypeScript", 136, 8, 16, 160
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\creep.ts", "TypeScript", 29, 3, 1, 33
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\global.ts", "TypeScript", 34, 21, 7, 62
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\room.ts", "TypeScript", 39, 13, 11, 63
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\structure.ts", "TypeScript", 27, 15, 5, 47
"c:\Users\piete\Source\repos\Pansiep\src\utils\external\errorMapper.ts", "TypeScript", 63, 22, 10, 95
"c:\Users\piete\Source\repos\Pansiep\src\utils\external\packrat.ts", "TypeScript", 201, 176, 33, 410
