"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\actionsGroup.ts", "TypeScript", 24, 0, 12, 36
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\attack.spec.ts", "TypeScript", 80, 0, 10, 90
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\attack.ts", "TypeScript", 24, 0, 4, 28
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\build.ts", "TypeScript", 41, 1, 4, 46
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\claim.ts", "TypeScript", 27, 1, 4, 32
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\dismantle.ts", "TypeScript", 30, 1, 4, 35
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\harvest.ts", "TypeScript", 42, 1, 7, 50
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\heal.ts", "TypeScript", 28, 1, 5, 34
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\move.ts", "TypeScript", 31, 6, 5, 42
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\repair.ts", "TypeScript", 46, 1, 4, 51
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\transfer.ts", "TypeScript", 67, 1, 7, 75
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\upgrade.ts", "TypeScript", 51, 1, 4, 56
"c:\Users\piete\Source\repos\Pansiep\src\creep\actions\withdraw.ts", "TypeScript", 52, 1, 5, 58
"c:\Users\piete\Source\repos\Pansiep\src\creep\communications.ts", "TypeScript", 0, 37, 4, 41
"c:\Users\piete\Source\repos\Pansiep\src\creep\helper.spec.ts", "TypeScript", 242, 0, 8, 250
"c:\Users\piete\Source\repos\Pansiep\src\creep\helper.ts", "TypeScript", 139, 7, 14, 160
"c:\Users\piete\Source\repos\Pansiep\src\creep\loop.spec.ts", "TypeScript", 69, 0, 8, 77
"c:\Users\piete\Source\repos\Pansiep\src\creep\loop.ts", "TypeScript", 33, 0, 5, 38
"c:\Users\piete\Source\repos\Pansiep\src\main.spec.ts", "TypeScript", 135, 0, 8, 143
"c:\Users\piete\Source\repos\Pansiep\src\main.ts", "TypeScript", 23, 1, 5, 29
"c:\Users\piete\Source\repos\Pansiep\src\memory\garbageCollection.spec.ts", "TypeScript", 152, 2, 15, 169
"c:\Users\piete\Source\repos\Pansiep\src\memory\garbageCollection.ts", "TypeScript", 72, 0, 12, 84
"c:\Users\piete\Source\repos\Pansiep\src\memory\initialization.spec.ts", "TypeScript", 182, 0, 8, 190
"c:\Users\piete\Source\repos\Pansiep\src\memory\initialization.ts", "TypeScript", 235, 3, 24, 262
"c:\Users\piete\Source\repos\Pansiep\src\memory\stats.spec.ts", "TypeScript", 224, 1, 15, 240
"c:\Users\piete\Source\repos\Pansiep\src\memory\stats.ts", "TypeScript", 302, 4, 31, 337
"c:\Users\piete\Source\repos\Pansiep\src\memory\updateCache.spec.ts", "TypeScript", 297, 1, 24, 322
"c:\Users\piete\Source\repos\Pansiep\src\memory\updateCache.ts", "TypeScript", 263, 27, 34, 324
"c:\Users\piete\Source\repos\Pansiep\src\room\helper.spec.ts", "TypeScript", 125, 0, 11, 136
"c:\Users\piete\Source\repos\Pansiep\src\room\helper.ts", "TypeScript", 58, 31, 12, 101
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\create.spec.ts", "TypeScript", 295, 0, 24, 319
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\create.ts", "TypeScript", 350, 60, 22, 432
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\handler.spec.ts", "TypeScript", 490, 0, 29, 519
"c:\Users\piete\Source\repos\Pansiep\src\room\jobs\handler.ts", "TypeScript", 306, 33, 30, 369
"c:\Users\piete\Source\repos\Pansiep\src\room\loop.spec.ts", "TypeScript", 60, 0, 8, 68
"c:\Users\piete\Source\repos\Pansiep\src\room\loop.ts", "TypeScript", 30, 6, 7, 43
"c:\Users\piete\Source\repos\Pansiep\src\room\planner\partGenerators.ts", "TypeScript", 389, 9, 15, 413
"c:\Users\piete\Source\repos\Pansiep\src\room\planner\planner.ts", "TypeScript", 364, 35, 33, 432
"c:\Users\piete\Source\repos\Pansiep\src\room\reading.ts", "TypeScript", 304, 69, 30, 403
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\drawVisual.spec.ts", "TypeScript", 162, 0, 16, 178
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals\drawVisual.ts", "TypeScript", 96, 30, 11, 137
